Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*Settings,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
2323,ch7ltoe1tx,Disease_Memory_1,1,1,2021-02-08T22:52:26+00:00,11.811451911926,1,versionA_stim.csv,CANCERA.csv,,,,,,,,0,Instruct,-,10,"In this study, you will be asked to watch a series of short videos. Each video will show a first-person perspective of an actor performing various actions. Please focus on the movement of the image because you will be asked to determine what the person is doing.",Initial_Instruct,Instruct1,,11546,,,-1,-1,,,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,2,2021-02-08T22:52:36+00:00,10.404381990433,1,versionA_stim.csv,CANCERA.csv,,,,,,,,0,Instruct,-,8,"After each video you will be presented with a text box to type your answer. Please be as specific as possible but do not answer in more than TWO words.",,Instruct14,,10139,,,-1,-1,,,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,3,2021-02-08T22:52:45+00:00,9.0987529754639,1,versionA_stim.csv,CANCERA.csv,,,,,,,,0,Instruct,User,-,"When you are ready to view the first video, please Press Next. Please note that the videos will play as soon as you move to the next screen. You will be automatically advanced to the next screen upon conclusion of the video.",,Instruct16,,8795,,,-1,-1,,,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,4,2021-02-08T22:53:18+00:00,32.532492160797,1,versionA_stim.csv,CANCERA.csv,,,,,,,7,7,FreeRecall,User,,,,,,32263,hua,0,30268,30570,0,0,,0.37
2323,ch7ltoe1tx,Disease_Memory_1,1,5,2021-02-08T22:53:20+00:00,2.1823539733887,1,versionA_stim.csv,CANCERA.csv,,,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",OFF2,,2,3,FreeRecall,User,,,,,,1846,,0,-1,-1,0,0,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,6,2021-02-08T22:53:27+00:00,7.5029158592224,1,versionA_stim.csv,CANCERA.csv,,,Video/Animotica_F_Squat.mp4,Squatting,OFF4,,4,5,Video,7,,,,,,7005,,,-1,-1,,,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,7,2021-02-08T22:53:35+00:00,7.4446270465851,1,versionA_stim.csv,CANCERA.csv,,,Video/Animotica_F_Jog.mp4,Jogging,,,6,6,Video,7,,,,,,7003,,,-1,-1,,,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,8,2021-02-08T22:53:42+00:00,7.2500910758972,1,versionA_stim.csv,CANCERA.csv,,,Video/Animotica_F_Jump.mp4,Jumping,OFF1,,1,2,Video,7,,,,,,7002,,,-1,-1,,,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,9,2021-02-08T22:53:47+00:00,5.2931060791016,1,versionA_stim.csv,CANCERA.csv,,,Video/Animotica_F_Jog.mp4,Jogging,,,6,6,FreeRecall,User,,,,,,5052," ",0,-1,-1,0,0,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,10,2021-02-08T22:53:55+00:00,7.3404099941254,1,versionA_stim.csv,CANCERA.csv,,,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",OFF2,,2,3,Video,7,,,,,,7004,,,-1,-1,,,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,11,2021-02-08T22:54:02+00:00,7.4514389038086,1,versionA_stim.csv,CANCERA.csv,,,,,,,7,7,Video,7,,,,,,7005,,,-1,-1,,,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,12,2021-02-08T22:54:08+00:00,6.2793629169464,1,versionA_stim.csv,CANCERA.csv,,,Video/Animotica_F_Sit.mp4,Sitting,OFF3,,3,4,FreeRecall,User,,,,,,5979,,0,-1,-1,0,0,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,13,2021-02-08T22:54:16+00:00,7.2971479892731,1,versionA_stim.csv,CANCERA.csv,,,Video/Animotica_F_Sit.mp4,Sitting,OFF3,,3,4,Video,7,,,,,,7004,,,-1,-1,,,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,14,2021-02-08T22:54:20+00:00,4.0902481079102,1,versionA_stim.csv,CANCERA.csv,,,Video/Animotica_F_Squat.mp4,Squatting,OFF4,,4,5,FreeRecall,User,,,,,,3858,"de ",0,1733,2004,0,0,,1
2323,ch7ltoe1tx,Disease_Memory_1,1,15,2021-02-08T22:54:21+00:00,1.4971098899841,1,versionA_stim.csv,CANCERA.csv,,,Video/Animotica_F_Jump.mp4,Jumping,OFF1,,1,2,FreeRecall,User,,,,,,1233,,0,-1,-1,0,0,,1
